Title,Key,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Release Date
12 Strong,53,"Action, Drama, History, War","Dramas,Movies Based on Books,Movies Based on Real Life,Action & Adventure,Military Dramas,Military Action & Adventure,US Movies","English, Dari, Russian, Spanish, Uzbek",Movie,2.8,R,6.6,50.0,54.0,2018-01-19
12 Years a Slave,54,"Biography, Drama, History","Dramas,Period Pieces,Dramas based on a book,Biographical Dramas,Tearjerkers,Social Issue Dramas,Dramas based on real life,Films Based on Real Life,Films Based on Books,US Movies,Historical Dramas",English,Movie,4.5,R,8.1,95.0,96.0,2013-11-08
12:08 East of Bucharest,55,"Comedy, Drama",Comedies,Romanian,Movie,5.5,Unrated,7.4,96.0,77.0,2006-09-29
127 Hours,56,"Adventure, Biography, Drama, Thriller","Dramas based on real life,Dramas based on a book,Dramas,Movies Based on Real Life,Movies Based on Books,US Movies","English, Italian",Movie,4.2,R,7.5,93.0,82.0,2011-01-28
13 Going on 30,58,"Comedy, Fantasy, Romance","Romantic Comedies,Comedies,Romantic Films,Romantic Favourites,Teen Films","English, Portuguese",Movie,3.1,PG-13,6.2,65.0,57.0,2004-04-23
13 Hours: The Secret Soldiers of Benghazi,59,"Action, Drama, History, War","Dramas,Action Thrillers,Military Dramas,Crime Action & Adventure,Dramas based on a book,Military Action & Adventure,Action & Adventure,Crime Dramas,Dramas based on real life,Films Based on Real Life,Films Based on Books,Action Movies","English, Arabic",Movie,2.9,R,7.3,51.0,48.0,2016-01-15
13 Sins,62,"Horror, Thriller","Thrillers,Crime Thrillers,Psychological Thrillers,Horror Films,US Movies",English,Movie,2.9,R,6.3,65.0,44.0,2014-04-11
13TH,63,"Documentary, Crime, History, News","Critically-acclaimed Documentaries,Social & Cultural Documentaries,Documentaries,Documentaries",English,Movie,4.4,TV-MA,8.3,97.0,83.0,2016-10-07
14 Blades,64,"Action, History, Thriller","Asian Action Films,International Movies,Action Thrillers,Chinese Films,International Action & Adventure,Martial Arts Films,Action & Adventure,Hong Kong Movies",Mandarin,Movie,4.2,R,6.3,69.0,50.0,2014-08-22
15 Minutes,65,"Action, Crime, Drama, Thriller","Action & Adventure,Crime Movies,Crime Action & Adventure,Action Thrillers","English, Czech, Russian, Greek, Afrikaans",Movie,2.1,R,6.1,32.0,34.0,2001-03-09
16 Blocks,66,"Action, Crime, Drama, Thriller","Action Thrillers,Action & Adventure","English, Spanish",Movie,3.1,PG-13,6.6,56.0,63.0,2006-03-03
17 Again,67,"Comedy, Drama, Fantasy, Romance, Sport","Sci-Fi & Fantasy,Fantasy,Comedies,Teen Films,US Movies,Youth Drama",English,Movie,2.8,PG-13,6.4,56.0,48.0,2009-04-17
2 Fast 2 Furious,75,"Action, Crime, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Gangster Films,Crime Films,Blockbuster Action & Adventure,Action,Crime Action,Police Action & Adventure,Police Movies","English, Spanish",Movie,2.2,PG-13,5.9,36.0,38.0,2003-06-06
