Key,Hidden_Gem_Score,IMDb_Score,Rotten_Tomatoes_Score,Metacritic_Score,Title,Release Date,Box_Office_Earnings
230,20.0,64.0,22.0,34.0,A Long Way Down,2014-06-05,13347.0
231,26.0,66.0,41.0,48.0,A Lot Like Love,2005-04-22,21845719.0
238,18.0,61.0,11.0,36.0,A Man Apart,2003-04-04,26736098.0
239,40.0,77.0,91.0,70.0,A Man Called Ove,2016-09-30,3479315.0
241,38.0,71.0,88.0,71.0,A Man in the Dark,2016-08-26,89217875.0
243,32.0,66.0,77.0,51.0,A Midsummer Nights Sex Comedy,1982-07-16,9077269.0
244,23.0,61.0,33.0,44.0,A Million Ways to Die in the West,2014-05-30,43139300.0
248,40.0,75.0,86.0,76.0,A Monster Calls,2017-01-06,3740823.0
250,38.0,68.0,86.0,73.0,A Most Wanted Man,2014-08-01,17237855.0
251,81.0,73.0,76.0,70.0,A Murder in the Park,2015-06-26,12088.0
252,16.0,63.0,9.0,26.0,A Night at the Roxbury,1998-10-02,30331165.0
253,17.0,52.0,15.0,35.0,A Nightmare on Elm Street,2010-04-30,63075011.0
255,33.0,68.0,72.0,60.0,A Perfect Day,2016-01-15,14044.0
257,29.0,65.0,57.0,50.0,A Perfect Murder,1998-06-05,67638368.0
260,40.0,69.0,92.0,76.0,A Prayer Before Dawn,2018-08-10,14453.0
261,38.0,67.0,88.0,75.0,A Private War,2018-11-16,1633208.0
263,42.0,75.0,96.0,82.0,A Quiet Place,2018-04-06,188024361.0
266,37.0,72.0,80.0,68.0,A River Runs Through It,1992-10-30,43440294.0
267,43.0,73.0,100.0,83.0,A Room with a View,1986-04-11,20966644.0
268,40.0,75.0,90.0,73.0,A Royal Affair,2012-03-29,1546761.0
274,36.0,68.0,84.0,67.0,A Simple Favor,2018-09-14,53548586.0
275,40.0,76.0,86.0,77.0,A Single Man,2010-02-05,9176000.0
279,42.0,76.0,90.0,88.0,A Star Is Born,2018-10-05,215288866.0
280,26.0,62.0,36.0,59.0,A Star Is Born,1976-12-17,80000000.0
282,34.0,74.0,77.0,54.0,A Street Cat Named Bob,2016-11-18,82703.0
287,63.0,60.0,71.0,55.0,A Tale of Love and Darkness,2016-08-19,572212.0
289,41.0,79.0,96.0,69.0,A Taxi Driver,2017-08-11,1527829.0
291,14.0,59.0,0.0,26.0,A Thousand Words,2012-03-09,18450127.0
295,36.0,69.0,84.0,65.0,A United Kingdom,2017-02-10,3902185.0
297,32.0,63.0,68.0,61.0,A Very Harold and Kumar Christmas,2011-11-04,35061031.0
303,31.0,65.0,67.0,57.0,A Walk Among the Tombstones,2014-09-19,26307600.0
304,27.0,64.0,47.0,51.0,A Walk in the Woods,2015-09-02,29504281.0
305,23.0,74.0,27.0,35.0,A Walk to Remember,2002-01-25,41281092.0
315,35.0,72.0,74.0,65.0,A.I. Artificial Intelligence,2001-06-29,78616689.0
316,25.0,53.0,70.0,29.0,A.X.L.,2018-08-24,6501381.0
323,14.0,51.0,5.0,25.0,Abduction,2011-09-23,28087155.0
327,35.0,70.0,81.0,61.0,Abominable,2019-09-27,60826390.0
328,40.0,70.0,93.0,75.0,About a Boy,2002-05-17,41385278.0
329,32.0,61.0,69.0,62.0,About Last Night,2014-02-14,48637684.0
330,34.0,78.0,69.0,55.0,About Time,2013-11-08,15322921.0
331,34.0,78.0,69.0,55.0,About Time,2013-11-08,15322921.0
336,25.0,64.0,38.0,47.0,Accepted,2006-08-18,36323505.0
342,26.0,69.0,49.0,37.0,Ace Ventura: Pet Detective,1994-02-04,72217396.0
343,22.0,64.0,25.0,45.0,Ace Ventura: When Nature Calls,1995-11-10,108385533.0
346,22.0,65.0,27.0,40.0,Act of Valour,2012-02-24,70012847.0
348,17.0,51.0,15.0,36.0,Action Point,2018-06-01,5059608.0
354,42.0,77.0,91.0,83.0,Adaptation.,2003-02-14,22498520.0
355,34.0,68.0,77.0,62.0,Addams Family Values,1993-11-19,48919043.0
357,22.0,62.0,33.0,37.0,Adore,2013-04-03,318982.0
358,32.0,66.0,69.0,56.0,Adrift,2018-06-01,31445012.0
363,40.0,70.0,88.0,79.0,Affliction,1999-02-19,6330054.0
366,17.0,53.0,18.0,30.0,After,2019-04-12,12138565.0
367,15.0,48.0,11.0,33.0,After Earth,2013-05-31,60522097.0
372,45.0,74.0,96.0,84.0,After the Storm,2016-05-21,272132.0
377,63.0,61.0,80.0,66.0,Afterschool,2008-10-01,3911.0
378,28.0,59.0,70.0,42.0,Against All Odds,1984-03-02,21689062.0
394,42.0,77.0,97.0,78.0,Airplane!,1980-07-02,83453539.0
409,16.0,52.0,11.0,30.0,Alex Cross,2012-10-19,25888412.0
412,18.0,56.0,16.0,39.0,Alexander: Directors Cut,2004-11-24,34297191.0
413,18.0,56.0,16.0,39.0,Alexander: Theatrical Cut,2004-11-24,34297191.0
416,26.0,62.0,48.0,49.0,Alfie,2004-11-05,13399812.0
418,34.0,68.0,68.0,65.0,Ali,2001-12-25,58203105.0
419,34.0,68.0,68.0,65.0,Ali & Alia,2001-12-25,58203105.0
425,35.0,66.0,75.0,67.0,Alice,1991-01-10,7331647.0
428,45.0,84.0,98.0,89.0,Alien,1979-06-22,81900459.0
