Key,Hidden_Gem_Score,IMDb_Score,Rotten_Tomatoes_Score,Metacritic_Score,Title,Release Date,Box_Office_Earnings
2391,30.0,64.0,63.0,52.0,Every Day,2018-02-23,6102076.0
2398,37.0,68.0,88.0,66.0,Everything You Always Wanted to Know About Sex But Were Afraid to Ask,1972-08-06,18016290.0
2399,35.0,78.0,68.0,61.0,Evil,2003-09-26,15530.0
2400,31.0,65.0,63.0,57.0,Evil Dead,2013-04-05,54239856.0
2402,17.0,59.0,19.0,22.0,Evil Woman,2001-02-09,19402030.0
2403,35.0,78.0,68.0,61.0,Evils Wave,2003-09-26,15530.0
2407,32.0,64.0,65.0,62.0,Executive Decision,1996-03-15,56569216.0
2410,45.0,72.0,80.0,73.0,Exiled,2006-10-19,51957.0
2411,24.0,60.0,31.0,52.0,Exodus: Gods and Kings,2014-12-12,65014513.0
2415,50.0,64.0,98.0,72.0,Extra Ordinary,2020-03-06,164346.0
2417,12.0,41.0,6.0,25.0,Extraction,2015-12-18,16775.0
2426,40.0,73.0,95.0,73.0,Eye in the Sky,2016-04-01,18704595.0
2429,36.0,74.0,75.0,68.0,Eyes Wide Shut,1999-07-16,55691208.0
2434,45.0,79.0,99.0,94.0,Faces Places,2017-06-28,953717.0
2435,20.0,66.0,16.0,38.0,Facing the Giants,2006-09-29,10178331.0
2439,37.0,70.0,82.0,69.0,Fahrenheit 11/9,2018-09-21,6352306.0
2441,21.0,56.0,24.0,47.0,Failure to Launch,2006-03-10,88715192.0
2442,36.0,68.0,79.0,69.0,Fair Game,2010-12-03,9540691.0
2450,34.0,76.0,73.0,56.0,Falling Down,1993-02-26,40903593.0
2453,35.0,66.0,84.0,58.0,Fame,1980-05-16,21202829.0
2454,19.0,51.0,24.0,39.0,Fame,2009-09-25,22455510.0
2458,25.0,58.0,38.0,54.0,Family Business,1989-12-15,12195695.0
2463,35.0,73.0,74.0,66.0,Fantastic Beasts and Where To Find Them,2016-11-18,234037575.0
2464,26.0,66.0,36.0,52.0,Fantastic Beasts: The Crimes of Grindelwald,2018-11-16,159555901.0
2465,13.0,43.0,9.0,27.0,Fantastic Four,2015-08-07,56117548.0
2466,38.0,71.0,84.0,71.0,Far from the Madding Crowd,2015-05-22,12236500.0
2472,33.0,70.0,70.0,61.0,Fast & Furious Presents: Hobbs & Shaw,2013-05-24,238679850.0
2473,23.0,66.0,28.0,46.0,Fast and Furious,2009-04-03,155064265.0
2474,33.0,70.0,70.0,61.0,Fast and Furious 6,2013-05-24,238679850.0
2475,60.0,61.0,81.0,64.0,Fast Color,2019-04-19,76916.0
2476,36.0,73.0,77.0,66.0,Fast Five,2011-04-29,209837675.0
2477,25.0,64.0,42.0,44.0,Faster,2010-11-24,23240020.0
2482,35.0,69.0,76.0,67.0,Fatal Attraction,1987-09-18,156645693.0
2493,16.0,55.0,17.0,22.0,Father Figures,2017-12-22,17501244.0
2501,27.0,63.0,46.0,51.0,Fear,1996-04-12,20831000.0
2502,28.0,76.0,49.0,41.0,Fear and Loathing in Las Vegas,1998-05-22,10680275.0
2504,9.0,34.0,3.0,16.0,Fear Dot Com,2002-08-30,13258249.0
2505,36.0,76.0,73.0,70.0,Fearless,2006-09-22,24633730.0
2515,41.0,72.0,92.0,79.0,Fences,2016-12-25,57682904.0
2516,33.0,67.0,72.0,58.0,Ferdinand,2017-12-15,84410380.0
2517,37.0,78.0,81.0,61.0,Ferris Buellers Day Off,1986-06-11,70136369.0
2518,46.0,89.0,92.0,94.0,Fiction.,1994-10-14,107928762.0
2520,38.0,80.0,83.0,67.0,Fiddler on the Roof,1971-11-03,10404330.0
2521,36.0,75.0,87.0,57.0,Field of Dreams,1989-05-05,64431625.0
2523,14.0,45.0,11.0,31.0,Fifty Shades Freed,2018-02-09,100407760.0
2524,12.0,35.0,7.0,28.0,Fifty Shades of Black,2016-01-29,11686940.0
2525,18.0,41.0,24.0,46.0,Fifty Shades of Grey,2015-02-13,166167230.0
2529,39.0,71.0,93.0,68.0,Fighting with My Family,2019-02-22,22958886.0
2533,23.0,67.0,35.0,36.0,Final Destination,2000-03-17,53331147.0
2534,25.0,62.0,48.0,38.0,Final Destination 2,2003-01-31,46961214.0
2535,28.0,58.0,62.0,50.0,Final Destination 5,2011-08-12,42587643.0
2546,72.0,64.0,86.0,50.0,Finding Mr. Right,2013-03-21,6945.0
2555,19.0,61.0,24.0,31.0,Fired Up,2009-02-20,17231291.0
2556,20.0,65.0,22.0,34.0,Fireflies in the Garden,2008-07-17,70600.0
2557,22.0,65.0,38.0,28.0,Fireproof,2008-09-26,33456317.0
2558,20.0,58.0,18.0,45.0,Firewall,2006-02-10,48751189.0
2561,27.0,60.0,43.0,57.0,First Knight,1995-07-07,37600435.0
2564,41.0,73.0,87.0,84.0,First Man,2018-10-12,44936545.0
2566,42.0,71.0,93.0,85.0,First Reformed,2018-05-18,3448256.0
2569,41.0,73.0,91.0,81.0,Fish Tank,2009-09-11,374675.0
2572,19.0,56.0,24.0,37.0,Fist Fight,2017-02-17,32187017.0
2578,76.0,68.0,71.0,47.0,Fists of Legend,2013-04-12,134213.0
2581,29.0,72.0,52.0,53.0,Five Feet Apart,2019-03-15,45729221.0
2583,37.0,71.0,73.0,79.0,Flags of Our Fathers,2006-10-20,33602376.0
2585,23.0,62.0,36.0,39.0,Flashdance,1983-04-15,92921203.0
2586,14.0,52.0,4.0,27.0,Flatliners,2017-09-29,16883115.0
2589,26.0,65.0,40.0,50.0,Flawless,1999-11-24,4488529.0
2591,36.0,69.0,77.0,68.0,Fletch,1985-05-31,50612888.0
2592,38.0,73.0,77.0,76.0,Flight,2012-11-02,93772375.0
2595,29.0,77.0,54.0,45.0,Flipped,2010-09-10,1755212.0
2596,21.0,53.0,32.0,43.0,Flipper,1996-05-17,20080020.0
2600,38.0,68.0,87.0,71.0,Florence Foster Jenkins,2016-08-12,27383770.0
2605,35.0,66.0,73.0,74.0,Flushed Away,2006-11-03,64665672.0
2608,30.0,66.0,56.0,56.0,Focus,2015-02-27,53862963.0
2613,16.0,57.0,11.0,29.0,Fools Gold,2008-02-08,70231041.0
2614,31.0,59.0,69.0,58.0,Footloose,2011-10-14,51802742.0
2615,29.0,60.0,57.0,55.0,"For a Good Time, Call...",2012-11-02,1251749.0
2617,26.0,66.0,46.0,43.0,For Love of the Game,1999-09-17,35188640.0
2620,50.0,85.0,99.0,89.0,For Sama,2019-07-26,43796.0
2623,69.0,76.0,82.0,74.0,For the Love of Spock,2016-09-09,80141.0
2633,21.0,67.0,25.0,36.0,Forever My Girl,2018-01-19,16376066.0
2635,37.0,71.0,83.0,67.0,Forgetting Sarah Marshall,2008-04-18,63172463.0
2639,40.0,88.0,71.0,82.0,Forrest Gump,1994-07-06,330455270.0
2643,20.0,57.0,25.0,41.0,Four Christmases,2008-11-26,120146040.0
2649,40.0,70.0,87.0,81.0,Foxcatcher,2015-01-16,12096300.0
2650,35.0,72.0,71.0,68.0,Fracture,2007-04-20,39015018.0
2653,80.0,65.0,90.0,67.0,Framing John DeLorean,2019-06-07,145625.0
2655,41.0,75.0,92.0,82.0,Frances Ha,2013-08-23,4069826.0
2659,53.0,59.0,69.0,56.0,Frank and Lola,2016-12-09,9188.0
2662,62.0,66.0,53.0,54.0,Freak Show,2018-01-12,19696.0
2663,36.0,67.0,88.0,63.0,Freaks,2019-09-13,276591.0
2665,20.0,56.0,21.0,42.0,Fred Claus,2007-11-09,72006777.0
2666,22.0,57.0,41.0,37.0,Freddy vs. Jason,2003-08-15,82622655.0
2667,19.0,58.0,20.0,38.0,Free Birds,2013-11-01,55750480.0
2668,33.0,64.0,69.0,63.0,Free Fire,2017-04-21,1799312.0
2670,35.0,60.0,70.0,79.0,Free Willy,1993-07-16,77698625.0
2674,35.0,75.0,70.0,64.0,Freedom Writers,2007-01-05,36605602.0
2680,20.0,58.0,26.0,35.0,Friday After Next,2002-11-22,33253609.0
2682,37.0,72.0,82.0,70.0,Friday Night Lights,2004-10-08,61255921.0
2683,25.0,65.0,64.0,22.0,Friday the 13th,1980-05-09,39754601.0
2684,19.0,55.0,26.0,34.0,Friday the 13th,2009-02-13,65002019.0
2685,19.0,61.0,28.0,26.0,Friday the 13th: Part 2,1981-04-30,21722776.0
2686,14.0,48.0,19.0,16.0,Friday the 13th: Part 5: A New Beginning,1985-03-22,21930418.0
2687,16.0,53.0,32.0,13.0,Friday the 13th: Part 7: The New Blood,1988-05-13,19170001.0
2688,11.0,46.0,8.0,14.0,Friday the 13th: Part 8: Jason Takes Manhattan,1989-07-28,14343976.0
2693,33.0,65.0,68.0,63.0,Friends with Benefits,2011-07-22,55802754.0
2694,30.0,61.0,67.0,55.0,Friends with Kids,2012-03-16,7251073.0
2699,38.0,71.0,92.0,62.0,Fright Night,1985-08-02,24922237.0
2702,30.0,68.0,57.0,54.0,From Hell,2001-10-19,31602566.0
2705,24.0,65.0,38.0,42.0,From Paris with Love,2010-02-05,24077427.0
2706,19.0,55.0,20.0,39.0,From Prada to Nada,2011-01-28,3033623.0
2707,46.0,67.0,32.0,40.0,From the Land of the Moon,2017-07-28,47748.0
2708,37.0,74.0,79.0,71.0,From Up on Poppy Hill,2011-07-16,1002895.0
2714,42.0,75.0,94.0,85.0,Fruitvale Station,2013-07-26,16101339.0
2720,42.0,83.0,92.0,76.0,Full Metal Jacket,1987-07-10,46357676.0
2727,62.0,70.0,83.0,54.0,Fullmetal Alchemist: The Sacred Star of Milos,2012-01-20,177802.0
2728,23.0,62.0,28.0,47.0,Fun with Dick and Jane,2005-12-21,110332737.0
2731,43.0,74.0,93.0,89.0,Funny Girl,1968-09-19,52223306.0
2732,32.0,63.0,69.0,60.0,Funny People,2009-07-31,51855045.0
2733,25.0,65.0,32.0,50.0,Fur: An Imaginary Portrait of Diane Arbus,2006-10-20,223202.0
2734,37.0,71.0,82.0,67.0,Furious 7,2015-04-03,353007020.0
2735,36.0,76.0,76.0,64.0,Fury,2014-10-17,85817906.0
2740,21.0,58.0,28.0,41.0,G.I. Joe: Retaliation,2013-03-28,122523060.0
2741,21.0,58.0,34.0,32.0,G.I. Joe: The Rise of Cobra,2009-08-07,150201498.0
2748,36.0,70.0,73.0,58.0,Gainsbourg: A Heroic Life,2010-01-20,233007.0
2751,39.0,73.0,90.0,70.0,Galaxy Quest,1999-12-25,71583916.0
2752,14.0,43.0,14.0,30.0,Gallows,2015-07-10,22764410.0
2754,37.0,69.0,85.0,66.0,Game Night,2018-02-23,69179066.0
2757,19.0,58.0,30.0,27.0,Gamer,2009-09-04,20534907.0
2759,41.0,80.0,85.0,79.0,Gandhi,1983-02-25,52767889.0
2763,37.0,75.0,73.0,72.0,Gangs of New York,2002-12-20,77812000.0
2768,23.0,67.0,31.0,40.0,Gangster Squad,2013-01-11,46000903.0
2769,34.0,73.0,76.0,53.0,Gangsters Paradise: Jerusalema,2008-08-29,7294.0
2777,37.0,78.0,82.0,64.0,Gattaca,1997-10-24,12532777.0
2783,60.0,54.0,72.0,71.0,Gemini,2018-03-30,200340.0
2785,20.0,57.0,26.0,38.0,Gemini Man,2019-10-11,48546770.0
2787,29.0,66.0,53.0,56.0,Genius,2016-06-10,1361045.0
2791,17.0,58.0,18.0,25.0,Georgia Rule,2007-05-11,19103072.0
2792,15.0,53.0,16.0,21.0,Geostorm,2017-10-20,33700160.0
2795,20.0,60.0,28.0,34.0,Get Hard,2015-03-27,90411453.0
2796,33.0,64.0,72.0,65.0,Get Him to the Greek,2010-06-04,60974475.0
2798,43.0,77.0,98.0,85.0,Get Out,2017-02-24,176040665.0
2799,19.0,54.0,16.0,45.0,Get Rich or Die Tryin,2005-11-09,30985352.0
2801,28.0,65.0,51.0,54.0,Get Smart,2008-06-20,130319208.0
2807,33.0,71.0,74.0,52.0,Ghost,1990-07-13,217631306.0
2808,42.0,80.0,96.0,76.0,Ghost in the Shell,1996-03-29,515905.0
2809,34.0,75.0,64.0,66.0,Ghost in the Shell 2: Innocence,2004-09-24,1043896.0
2816,19.0,52.0,26.0,35.0,Ghost Rider,2007-02-16,115802596.0
2817,16.0,43.0,18.0,34.0,Ghost Rider: Spirit of Vengeance,2012-02-17,51774002.0
2818,17.0,55.0,16.0,28.0,Ghost Ship,2002-10-25,30113491.0
2819,36.0,64.0,85.0,68.0,Ghost Stories,2018-04-20,148747.0
2820,37.0,67.0,85.0,72.0,Ghost Town,2008-09-19,13367624.0
2822,33.0,64.0,74.0,60.0,Ghostbusters,2016-07-15,128350574.0
2823,41.0,78.0,97.0,71.0,Ghostbusters,1984-06-08,243187079.0
2824,29.0,66.0,53.0,56.0,Ghostbusters 2,1989-06-16,112494738.0
2826,20.0,58.0,28.0,34.0,Ghosts of Girlfriends Past,2009-05-01,55250026.0
2830,35.0,76.0,73.0,60.0,Gifted,2017-04-12,24801212.0
2832,87.0,75.0,95.0,73.0,Gilberts Grim Revenge,2017-04-01,8362.0
2848,35.0,69.0,72.0,72.0,Girl with a Pearl Earring,2004-01-30,11670971.0
2849,29.0,73.0,53.0,51.0,"Girl, Interrupted",2000-01-14,28912646.0
2853,50.0,69.0,96.0,85.0,Girlhood,2014-10-22,60765.0
2859,41.0,81.0,87.0,79.0,Girls Revenge,2014-10-03,167767189.0
2867,38.0,85.0,77.0,67.0,Gladiator,2000-05-05,187705427.0
2875,42.0,78.0,93.0,78.0,Glory,1990-02-16,26979166.0
2899,43.0,86.0,91.0,79.0,Gods Little Village,2004-02-13,7564459.0
2900,12.0,47.0,12.0,16.0,Gods Not Dead,2014-03-21,60755732.0
2901,13.0,44.0,10.0,22.0,Gods Not Dead 2,2016-04-01,20774575.0
2902,16.0,54.0,15.0,25.0,Gods of Egypt,2016-02-26,31153464.0
2903,43.0,77.0,98.0,85.0,Gods Own Country,2017-08-24,335609.0
2904,34.0,64.0,76.0,62.0,Godzilla,2014-05-16,200676069.0
2907,17.0,54.0,15.0,32.0,Godzilla,1998-05-20,136314294.0
2908,34.0,64.0,76.0,62.0,Godzilla & Mothra: Battle for Earth,2014-05-16,200676069.0
2921,25.0,60.0,42.0,48.0,Godzilla: King of the Monsters,2019-05-31,110500138.0
2922,37.0,68.0,86.0,67.0,Godzilla: Resurgence,2016-07-29,1918403.0
2928,33.0,66.0,82.0,50.0,Going in Style,2017-04-07,45018541.0
2929,26.0,67.0,42.0,49.0,Gold,2017-01-27,7227038.0
2932,73.0,58.0,67.0,71.0,Golden Exits,2018-02-09,41888.0
2936,63.0,65.0,76.0,78.0,Goldstone,2016-07-07,87639.0
2938,41.0,70.0,91.0,87.0,Gomorrah,2009-04-10,1579146.0
2939,18.0,59.0,12.0,36.0,Gone,2012-02-24,11682205.0
2940,40.0,76.0,94.0,72.0,Gone Baby Gone,2007-10-19,20292962.0
2941,41.0,81.0,87.0,79.0,Gone Girl,2014-10-03,167767189.0
2944,45.0,81.0,91.0,97.0,Gone with the Wind,1940-01-17,200852579.0
2946,35.0,67.0,80.0,60.0,Good Boys,2019-08-16,83140306.0
2947,22.0,57.0,32.0,41.0,Good Burger,1997-07-25,23712993.0
2950,61.0,69.0,95.0,72.0,Good Hair,2009-10-23,4157223.0
2952,13.0,56.0,5.0,19.0,Good Luck Chuck,2007-09-21,35017297.0
2955,41.0,74.0,93.0,80.0,"Good Night, and Good Luck",2005-11-04,31558003.0
2956,41.0,74.0,92.0,80.0,Good Time,2017-08-25,2026499.0
2957,42.0,83.0,98.0,70.0,Good Will Hunting,1998-01-09,138433435.0
2959,45.0,87.0,96.0,90.0,GoodFellas,1990-09-21,46836214.0
2960,35.0,68.0,81.0,64.0,Goon,2012-02-24,4168528.0
2962,33.0,63.0,78.0,60.0,Goosebumps,2015-10-16,80080379.0
2964,26.0,56.0,47.0,53.0,Goosebumps 2: Haunted Halloween,2018-10-12,46700633.0
2968,18.0,58.0,15.0,38.0,Gothika,2003-11-21,59694580.0
2969,12.0,48.0,0.0,24.0,Gotti,2018-06-14,4343227.0
2971,41.0,51.0,72.0,52.0,Grace,2009-11-07,8297.0
2976,39.0,81.0,81.0,72.0,Gran Torino,2009-01-09,148095302.0
2981,39.0,67.0,91.0,77.0,Grandmas Last Wishes,2015-09-18,6980524.0
2982,39.0,67.0,91.0,77.0,Grandmas Wedding,2015-09-18,6980524.0
2993,45.0,77.0,95.0,96.0,Gravity,2013-10-04,274092705.0
2994,36.0,72.0,75.0,70.0,Grease,1978-06-16,190071103.0
2995,22.0,44.0,37.0,52.0,Grease 2,1982-06-11,15171476.0
2999,56.0,73.0,67.0,35.0,Greater,2016-08-26,2000620.0
3001,38.0,82.0,78.0,69.0,Green Book,2018-11-16,85080171.0
3005,20.0,55.0,26.0,39.0,Green Lantern,2011-06-17,116601172.0
3006,29.0,75.0,47.0,55.0,Green Street,2005-09-09,346830.0
3007,31.0,68.0,53.0,63.0,Green Zone,2010-03-12,35053660.0
3011,38.0,73.0,85.0,70.0,Gremlins,1984-06-08,153378102.0
3012,34.0,64.0,71.0,69.0,Gremlins 2: The New Batch,1990-06-15,41482207.0
3015,27.0,69.0,42.0,52.0,Gridiron Gang,2006-09-15,38432823.0
3019,25.0,61.0,40.0,46.0,Gringo,2018-03-09,4969853.0
3020,82.0,75.0,85.0,69.0,Grizzlies,2020-07-31,11650.0
3021,43.0,78.0,92.0,87.0,Grizzly Man,2005-09-30,3178403.0
3022,41.0,80.0,96.0,72.0,Groundhog Day,1993-02-12,71073420.0
3025,17.0,59.0,11.0,30.0,Grown Ups,2010-06-25,162001186.0
3026,13.0,54.0,8.0,19.0,Grown Ups 2,2013-07-12,133668525.0
3044,38.0,77.0,83.0,70.0,Guru,2007-01-12,2096000.0
3058,39.0,81.0,84.0,71.0,Hacksaw Ridge,2016-11-04,67209615.0
3063,63.0,73.0,96.0,76.0,Hail Satan?,2019-04-17,424284.0
3065,37.0,63.0,85.0,72.0,"Hail, Cesar!",2016-02-05,30498085.0
3066,40.0,66.0,91.0,81.0,Hairspray,2007-07-20,118871849.0
3070,19.0,67.0,29.0,16.0,Half Baked,1998-01-16,17460020.0
3071,12.0,47.0,3.0,23.0,Half Past Dead,2002-11-15,15567860.0
3073,23.0,58.0,33.0,45.0,Hall Pass,2011-02-25,45060734.0
3074,35.0,65.0,79.0,67.0,Halloween,2018-10-19,159342015.0
3075,43.0,77.0,96.0,87.0,Halloween,1978-10-27,47160000.0
3076,20.0,59.0,29.0,34.0,Halloween 4: The Return of Michael Myers,1988-10-21,17768757.0
3078,39.0,67.0,100.0,64.0,Hamburger Hill,1987-08-28,13839404.0
3080,51.0,60.0,43.0,53.0,Hampstead,2019-06-14,144396.0
3083,26.0,64.0,41.0,49.0,Hancock,2008-07-02,227946274.0
3085,27.0,66.0,45.0,54.0,Hands of Stone,2016-08-26,4712792.0
3091,34.0,68.0,71.0,65.0,Hanna,2011-04-08,40259119.0
3094,27.0,68.0,40.0,57.0,Hannibal,2001-02-09,165092268.0
3097,19.0,62.0,16.0,35.0,Hannibal Rising,2007-02-09,27670986.0
3098,17.0,61.0,16.0,23.0,Hansel and Gretel: Witch Hunters,2013-01-25,55703475.0
3101,13.0,45.0,4.0,28.0,Happily NEver After,2007-01-05,15589393.0
3105,32.0,66.0,71.0,58.0,Happy Death Day,2017-10-13,55683845.0
3106,32.0,62.0,71.0,57.0,Happy Death Day 2U,2019-02-13,28148130.0
3109,36.0,64.0,76.0,77.0,Happy Feet,2006-11-17,198000317.0
3110,26.0,59.0,45.0,50.0,Happy Feet Two,2011-11-18,64006466.0
3112,27.0,70.0,62.0,31.0,Happy Gilmore,1996-02-16,38824099.0
3122,23.0,58.0,38.0,41.0,Hard to Kill,1990-02-09,47410827.0
3129,35.0,71.0,74.0,64.0,Harold and Kumar Get the Munchies,2004-07-30,18250550.0
3130,34.0,66.0,73.0,66.0,Harriet,2019-11-01,43082155.0
3133,36.0,74.0,82.0,63.0,Harry Potter and the Chamber of Secrets,2002-11-15,262450136.0
3134,44.0,81.0,96.0,85.0,Harry Potter and the Deathly Hallows: Part 2,2011-07-15,381409310.0
3135,36.0,77.0,77.0,65.0,Harry Potter and the Deathly Hallows: Part I,2010-11-19,296347721.0
3136,41.0,77.0,88.0,81.0,Harry Potter and the Goblet of Fire,2005-11-18,290417905.0
3137,40.0,76.0,84.0,78.0,Harry Potter and the Half-Blood Prince,2009-07-15,302305431.0
3138,37.0,75.0,77.0,71.0,Harry Potter and the Order of the Phoenix,2007-07-11,292353413.0
3139,42.0,79.0,90.0,82.0,Harry Potter and the Prisoner of Azkaban,2004-06-04,249975996.0
3140,37.0,76.0,81.0,64.0,Harry Potter and the Sorcerers Stone,2001-11-16,318087620.0
3141,44.0,81.0,96.0,85.0,Harrys Daughters,2011-07-15,381409310.0
3152,34.0,58.0,80.0,67.0,Haywire,2012-01-20,18942396.0
3166,36.0,71.0,73.0,70.0,Heartbeats,2010-09-29,68723.0
3168,32.0,67.0,68.0,59.0,Heartbreaker,2010-03-17,504030.0
3170,38.0,69.0,92.0,65.0,Hearts Beat Loud,2018-06-15,2386251.0
3171,29.0,69.0,49.0,55.0,Hearts in Atlantis,2001-09-28,24185781.0
3173,26.0,58.0,51.0,47.0,Heaven Is for Real,2014-04-16,91443253.0
3179,30.0,67.0,60.0,51.0,Heavy Metal,1981-08-07,546545.0
3181,23.0,70.0,38.0,29.0,Hector and the Search for Happiness,2014-08-14,1124445.0
3186,21.0,61.0,29.0,37.0,Heist,2015-11-11,50136.0
3188,20.0,55.0,40.0,26.0,Hell Fest,2018-09-28,11107431.0
3190,44.0,76.0,97.0,88.0,Hell or High Water,2016-08-26,27007844.0
3192,17.0,52.0,18.0,31.0,Hellboy,2019-04-12,21903748.0
3193,39.0,70.0,86.0,78.0,Hellboy II: The Golden Army,2008-07-11,75986503.0
3201,36.0,66.0,85.0,63.0,"Hello, My Name Is Doris",2016-04-01,14444999.0
3208,75.0,75.0,75.0,58.0,Heneral Luna,2015-10-30,206040.0
3210,44.0,80.0,94.0,90.0,Her,2014-01-10,25568251.0
3214,27.0,60.0,58.0,47.0,Hercules,2014-07-25,72688614.0
3217,24.0,64.0,41.0,40.0,Here Comes the Boom,2012-10-12,45290318.0
3220,28.0,64.0,47.0,56.0,Hereafter,2010-10-22,32746941.0
3221,42.0,73.0,89.0,87.0,Hereditary,2018-06-08,44069456.0
3229,25.0,64.0,41.0,47.0,Hes Just Not That Into You,2009-02-06,93953653.0
3236,41.0,73.0,89.0,83.0,Hidden (Cache),2006-02-17,3647381.0
3237,41.0,78.0,93.0,74.0,Hidden Figures,2017-01-06,169607287.0
3239,18.0,60.0,13.0,35.0,Hide and Seek,2005-01-28,51100486.0
3240,44.0,76.0,97.0,88.0,High & Low The Movie,2016-08-26,27007844.0
3241,44.0,76.0,97.0,88.0,High & Low The Movie 2 / End of Sky,2016-08-26,27007844.0
3242,44.0,76.0,97.0,88.0,High & Low The Movie 3 / Final Mission,2016-08-26,27007844.0
3243,44.0,76.0,97.0,88.0,High & Low The Red Rain,2016-08-26,27007844.0
3244,44.0,76.0,97.0,88.0,High & Low The Worst,2016-08-26,27007844.0
3246,29.0,71.0,53.0,51.0,High Heels,1991-12-20,1710057.0
3247,36.0,58.0,82.0,77.0,High Life,2019-04-12,1225852.0
3253,70.0,68.0,50.0,43.0,High Strung Free Dance,2019-10-11,83891.0
3254,27.0,56.0,40.0,65.0,High-Rise,2016-04-28,346472.0
3272,32.0,66.0,69.0,58.0,Hitch,2005-02-11,179495555.0
3275,21.0,63.0,28.0,35.0,Hitman,2007-11-21,39687694.0
3276,16.0,57.0,8.0,28.0,Hitman: Agent 47,2015-08-21,22467450.0
3277,27.0,69.0,43.0,47.0,Hitman’s Bodyguard,2017-08-18,75468583.0
3295,22.0,58.0,32.0,41.0,Home Again,2017-09-08,27020284.0
3301,25.0,65.0,42.0,40.0,Homefront,2013-11-27,20158898.0
3311,40.0,73.0,94.0,73.0,Honey Boy,2019-11-27,3012615.0
3312,33.0,57.0,76.0,65.0,Honeymoon,2014-09-12,9318.0
3316,25.0,68.0,29.0,52.0,Hook,1991-12-11,119654823.0
3317,25.0,68.0,29.0,52.0,Hook,1991-12-11,119654823.0
3318,20.0,54.0,24.0,41.0,Hop,2011-04-01,108085305.0
3319,67.0,67.0,64.0,58.0,HOPE GAP,2020-05-08,104732.0
3320,34.0,63.0,75.0,65.0,Hope Springs,2012-08-08,63536011.0
3324,25.0,65.0,41.0,46.0,Horns,2014-10-03,173948.0
3325,32.0,69.0,69.0,57.0,Horrible Bosses,2011-07-08,117538559.0
3326,23.0,63.0,35.0,40.0,Horrible Bosses 2,2014-11-26,54445357.0
3333,35.0,72.0,71.0,65.0,Hostiles,2018-01-26,29819114.0
3335,42.0,78.0,91.0,81.0,Hot Fuzz,2007-04-20,23637265.0
3339,25.0,67.0,39.0,43.0,Hot Rod,2007-08-03,13938332.0
3340,35.0,68.0,83.0,61.0,Hot Shots!,1991-07-31,69467617.0
3341,32.0,64.0,63.0,63.0,Hot Tub Time Machine,2010-03-26,50287556.0
3343,29.0,61.0,58.0,58.0,Hotel Artemis,2018-06-08,6708147.0
3346,25.0,54.0,46.0,51.0,Hotel for Dogs,2009-01-16,73034460.0
3347,36.0,76.0,76.0,62.0,Hotel Mumbai,2019-03-29,9651611.0
3348,42.0,81.0,91.0,79.0,Hotel Rwanda,2005-02-04,23530892.0
3349,27.0,71.0,45.0,47.0,Hotel Transylvania,2012-09-28,148313048.0
3350,28.0,67.0,55.0,44.0,Hotel Transylvania 2,2015-09-25,169700110.0
3351,30.0,63.0,62.0,54.0,Hotel Transylvania 3: Summer Vacation,2018-07-13,167510016.0
3352,17.0,56.0,13.0,31.0,House at the End of the Street,2012-09-21,31611916.0
3353,19.0,61.0,20.0,31.0,"House of 1,000 Corpses",2003-04-11,12634962.0
3355,42.0,75.0,87.0,89.0,House of Flying Daggers,2005-01-14,11050094.0
3357,20.0,53.0,26.0,41.0,House of Wax,2005-05-06,32064800.0
3359,22.0,54.0,31.0,46.0,How Do You Know,2010-12-17,30212620.0
3360,20.0,63.0,26.0,29.0,How High,2001-12-21,31178740.0
3366,26.0,62.0,49.0,46.0,How the Grinch Stole Christmas,2000-11-17,260465005.0
3367,26.0,60.0,39.0,54.0,How to Be a Latin Lover,2017-04-28,32149404.0
3368,27.0,61.0,47.0,51.0,How to Be Single,2016-02-12,46843513.0
3369,70.0,58.0,79.0,69.0,HOW TO BUILD A GIRL,2020-05-08,70632.0
3374,25.0,64.0,42.0,45.0,How to Lose a Guy in 10 Days,2003-02-07,105813373.0
3376,42.0,81.0,99.0,75.0,How to Train Your Dragon,2010-03-26,217581231.0
3377,41.0,78.0,92.0,76.0,How to Train Your Dragon 2,2014-06-13,177002924.0
3378,39.0,75.0,90.0,71.0,How to Train Your Dragon: The Hidden World,2019-02-22,160799505.0
3381,43.0,74.0,94.0,88.0,Howards End,1993-02-26,26126837.0
3382,42.0,82.0,87.0,80.0,Howl’s Moving Castle,2005-06-17,5576743.0
3388,18.0,58.0,32.0,17.0,Hudson Hawk,1991-05-24,17218080.0
3390,42.0,75.0,93.0,83.0,Hugo,2011-11-23,73864507.0
3392,29.0,56.0,62.0,54.0,Hulk,2003-06-20,132177234.0
3395,36.0,73.0,81.0,63.0,Human Capital,2014-01-09,158549.0
3397,28.0,64.0,49.0,56.0,Human Nature,2001-09-12,705308.0
3403,41.0,76.0,90.0,82.0,Hunger,2008-10-31,154084.0
3404,43.0,79.0,97.0,81.0,Hunt for the Wilderpeople,2016-07-01,5205468.0
3405,24.0,66.0,37.0,43.0,Hunter Killer,2018-10-26,15767460.0
3411,14.0,55.0,12.0,18.0,Hush,1998-03-06,13583690.0
3413,38.0,63.0,87.0,79.0,Hustlers,2019-09-13,104963598.0
3419,72.0,64.0,75.0,47.0,Hyeomnyeo: Kar-ui gi-eok,2015-08-28,111071.0
