Key,Hidden Gem Score,IMDb Score,Rotten Tomatoes Score,Metacritic Score
431,4.4,8.3,97.0,84.0
432,4.4,8.3,97.0,84.0
434,1.5,4.7,12.0,29.0
435,6.6,6.9,92.0,64.0
438,4.4,7.8,98.0,87.0
440,7.5,6.1,86.0,70.0
441,1.2,4.8,6.0,17.0
442,2.1,5.9,30.0,34.0
445,2.7,6.8,44.0,50.0
446,1.9,5.9,18.0,38.0
449,2.6,6.3,35.0,57.0
452,2.1,5.4,29.0,43.0
454,4.6,5.6,49.0,54.0
455,6.5,6.2,72.0,59.0
457,7.9,6.1,95.0,63.0
459,3.7,6.8,80.0,72.0
460,7.6,6.6,69.0,70.0
463,3.2,7.1,61.0,60.0
465,4.7,6.1,49.0,55.0
467,7.4,5.6,67.0,42.0
468,1.9,5.4,20.0,40.0
472,3.8,6.5,57.0,52.0
474,2.3,6.4,32.0,42.0
475,2.2,6.0,27.0,44.0
478,1.8,5.2,18.0,36.0
486,1.6,5.0,15.0,33.0
487,3.7,6.8,89.0,64.0
490,3.8,6.9,82.0,78.0
491,8.6,7.4,83.0,78.0
496,4.0,8.3,89.0,69.0
497,3.8,7.0,88.0,68.0
498,2.4,6.2,34.0,45.0
499,4.2,8.3,87.0,84.0
501,7.2,6.1,53.0,40.0
503,4.3,7.4,96.0,86.0
504,3.9,7.8,81.0,76.0
505,4.5,7.4,96.0,97.0
506,1.4,5.0,13.0,23.0
507,3.8,8.5,83.0,62.0
508,3.8,7.0,79.0,80.0
510,4.2,7.2,92.0,90.0
512,3.7,7.2,85.0,65.0
513,2.8,6.3,60.0,46.0
515,2.1,6.1,23.0,43.0
516,3.1,7.0,61.0,58.0
517,2.7,6.4,52.0,43.0
522,3.5,7.6,70.0,64.0
523,2.7,6.7,45.0,49.0
524,3.6,7.3,72.0,72.0
525,2.6,6.1,44.0,50.0
527,2.7,6.3,54.0,43.0
531,2.0,4.8,30.0,42.0
532,4.3,7.8,95.0,85.0
539,5.4,5.8,52.0,54.0
541,4.7,6.4,79.0,68.0
544,3.7,7.0,79.0,75.0
545,6.5,5.5,41.0,52.0
549,2.0,4.8,37.0,37.0
550,1.9,4.7,26.0,40.0
553,3.6,7.2,86.0,61.0
555,2.5,6.1,58.0,33.0
558,3.3,6.3,75.0,61.0
559,3.4,7.2,66.0,63.0
561,7.8,6.9,93.0,77.0
562,1.9,5.8,18.0,38.0
572,2.5,6.4,38.0,45.0
573,3.5,7.3,79.0,61.0
574,3.9,6.4,73.0,47.0
578,2.5,6.7,37.0,48.0
581,2.6,6.3,42.0,52.0
586,4.1,7.5,96.0,77.0
592,2.3,6.6,33.0,40.0
593,3.3,6.0,77.0,63.0
594,3.2,6.6,63.0,63.0
595,2.0,5.4,29.0,37.0
596,2.9,5.9,65.0,53.0
597,3.3,6.5,71.0,62.0
599,1.9,5.3,28.0,33.0
600,2.7,6.6,57.0,39.0
601,3.9,6.8,88.0,79.0
604,2.5,6.1,37.0,54.0
607,1.7,5.9,21.0,23.0
613,4.4,7.0,67.0,57.0
614,3.6,7.3,82.0,64.0
615,2.9,6.9,52.0,52.0
620,4.6,8.4,98.0,94.0
621,4.5,8.2,99.0,88.0
622,4.2,7.6,96.0,77.0
623,1.7,5.2,23.0,24.0
624,3.4,6.3,78.0,62.0
627,2.9,6.7,53.0,51.0
628,3.1,6.9,65.0,55.0
629,2.6,5.3,51.0,51.0
630,4.3,7.5,97.0,88.0
639,1.4,4.3,8.0,36.0
641,1.4,4.7,12.0,27.0
644,1.4,4.2,14.0,30.0
646,4.3,7.7,96.0,86.0
654,4.3,7.5,91.0,72.0
658,3.1,7.1,61.0,57.0
661,2.3,5.9,32.0,49.0
664,4.2,7.9,94.0,81.0
667,2.0,5.7,26.0,36.0
668,2.0,6.0,22.0,39.0
669,3.9,7.1,92.0,69.0
673,2.1,6.2,26.0,38.0
675,3.8,7.7,85.0,67.0
685,2.7,6.4,52.0,46.0
687,8.5,7.6,92.0,68.0
696,3.1,5.9,74.0,56.0
698,1.9,5.7,18.0,36.0
699,2.9,6.3,59.0,54.0
700,1.8,6.0,25.0,24.0
708,2.8,6.3,50.0,53.0
709,2.8,6.3,50.0,53.0
710,7.4,6.6,82.0,64.0
722,1.6,4.7,12.0,34.0
723,3.5,6.7,78.0,63.0
724,4.1,7.8,83.0,85.0
733,5.8,7.2,81.0,73.0
734,2.5,7.5,37.0,38.0
735,3.3,7.2,67.0,58.0
737,7.6,6.6,77.0,63.0
740,2.9,6.2,53.0,62.0
741,3.2,7.0,71.0,51.0
742,2.9,6.6,52.0,59.0
743,1.9,5.7,24.0,33.0
744,3.7,6.8,87.0,65.0
745,1.7,5.7,19.0,24.0
746,8.1,7.5,97.0,68.0
752,3.5,6.5,84.0,63.0
753,4.0,8.0,91.0,69.0
754,3.6,7.3,75.0,66.0
756,4.0,7.8,88.0,74.0
781,4.1,6.8,97.0,83.0
782,3.5,7.4,69.0,69.0
783,3.5,7.4,69.0,69.0
784,4.9,7.1,67.0,63.0
787,3.2,6.4,71.0,55.0
788,4.2,7.6,92.0,86.0
789,0.6,2.7,2.0,6.0
794,4.2,7.2,94.0,77.0
796,2.7,5.3,56.0,53.0
800,4.5,8.5,96.0,87.0
801,3.4,7.8,66.0,57.0
802,3.5,7.4,80.0,55.0
803,3.0,6.7,74.0,38.0
810,2.5,6.9,42.0,41.0
811,3.4,6.6,77.0,59.0
812,2.1,6.6,23.0,38.0
814,4.1,7.4,88.0,81.0
820,3.0,6.2,58.0,60.0
822,2.7,6.5,53.0,42.0
823,3.6,7.0,78.0,70.0
824,2.0,5.6,24.0,38.0
826,2.5,5.6,45.0,47.0
828,2.0,5.8,26.0,39.0
846,7.4,6.2,89.0,63.0
848,3.5,6.3,82.0,66.0
850,1.4,5.4,8.0,24.0
856,1.7,3.3,27.0,40.0
868,1.7,6.6,17.0,22.0
870,2.1,5.4,26.0,44.0
872,2.0,5.6,22.0,42.0
874,2.7,7.0,54.0,41.0
879,8.8,7.5,100.0,78.0
880,3.6,7.5,71.0,69.0
881,3.9,8.2,84.0,70.0
882,2.4,5.4,38.0,51.0
884,3.6,7.0,80.0,68.0
885,2.3,6.4,28.0,44.0
890,3.8,6.7,85.0,73.0
891,4.1,7.6,88.0,81.0
893,0.6,2.5,3.0,9.0
898,2.2,5.8,34.0,41.0
901,7.4,7.3,86.0,76.0
903,1.8,5.5,17.0,37.0
906,8.0,7.0,90.0,67.0
907,8.0,7.0,90.0,67.0
910,3.8,6.4,85.0,78.0
911,2.7,6.5,44.0,52.0
914,1.9,5.6,21.0,40.0
915,4.1,7.7,92.0,79.0
918,3.8,6.0,75.0,68.0
919,7.4,7.1,98.0,74.0
921,2.7,6.1,47.0,52.0
924,2.4,6.4,41.0,39.0
925,8.4,6.8,86.0,75.0
932,2.7,6.1,49.0,54.0
936,2.5,6.3,41.0,46.0
938,3.8,7.5,85.0,70.0
939,3.1,6.5,64.0,58.0
940,2.4,6.4,37.0,41.0
941,3.2,6.2,64.0,68.0
942,4.5,7.9,98.0,94.0
944,2.1,6.8,27.0,31.0
945,3.6,7.4,83.0,62.0
947,2.5,6.4,37.0,49.0
948,2.5,6.4,37.0,49.0
952,5.6,7.6,95.0,71.0
953,4.3,7.7,93.0,90.0
955,3.6,6.4,82.0,69.0
958,7.5,6.5,83.0,58.0
964,7.9,7.2,80.0,73.0
966,3.6,6.7,82.0,66.0
974,3.2,6.2,71.0,59.0
978,3.5,6.3,75.0,70.0
988,1.8,6.7,12.0,29.0
989,2.7,6.5,72.0,26.0
992,8.1,7.4,74.0,55.0
995,3.7,6.5,89.0,67.0
997,3.5,7.4,77.0,56.0
1002,3.2,6.1,74.0,59.0
1003,3.7,7.3,83.0,66.0
1004,2.7,6.5,47.0,48.0
1005,1.3,5.6,9.0,16.0
1006,1.6,5.6,14.0,27.0
1007,1.8,4.8,24.0,34.0
1015,2.8,5.3,67.0,46.0
1017,3.8,6.9,83.0,73.0
1018,4.6,7.6,82.0,73.0
1024,2.4,6.4,39.0,41.0
1025,3.4,7.0,72.0,62.0
1026,2.2,5.4,44.0,36.0
1027,3.5,8.0,75.0,58.0
1028,6.5,7.1,91.0,72.0
1029,3.1,5.4,78.0,53.0
1031,3.3,6.5,75.0,61.0
1035,3.4,7.3,78.0,53.0
1048,8.4,6.3,100.0,73.0
1049,1.6,5.6,7.0,30.0
1052,3.9,7.7,85.0,74.0
1053,2.6,6.2,44.0,53.0
1054,2.0,6.4,42.0,16.0
1058,3.0,6.6,64.0,51.0
1059,2.1,6.0,32.0,36.0
1060,4.2,7.7,91.0,87.0
1062,3.3,6.1,78.0,60.0
1070,2.4,6.2,40.0,43.0
1071,3.5,6.8,78.0,65.0
1072,2.8,6.4,52.0,54.0
1076,2.4,6.2,40.0,43.0
1077,4.0,8.1,83.0,73.0
1078,3.5,7.2,71.0,65.0
1081,4.2,8.5,89.0,76.0
1082,3.8,7.7,76.0,74.0
1085,3.5,6.9,73.0,68.0
1089,2.5,6.6,39.0,45.0
1091,3.4,6.4,80.0,62.0
1093,4.1,8.0,85.0,79.0
1096,4.4,8.1,98.0,83.0
1097,2.3,5.4,32.0,51.0
1098,4.2,7.5,96.0,83.0
1100,2.9,6.7,57.0,52.0
1102,4.2,8.0,88.0,81.0
1103,4.2,8.1,90.0,84.0
1104,4.2,8.1,90.0,84.0
1105,2.0,5.9,25.0,38.0
1106,3.3,6.3,70.0,64.0
1107,2.2,5.0,37.0,47.0
1110,7.5,6.6,95.0,75.0
1119,3.3,6.8,69.0,62.0
1120,1.8,6.5,15.0,31.0
1124,3.8,6.9,89.0,71.0
1127,4.1,7.4,94.0,77.0
1132,3.6,6.2,84.0,69.0
1136,3.4,8.0,63.0,64.0
1137,3.6,6.4,89.0,66.0
1142,2.7,6.5,52.0,45.0
1146,2.3,6.8,40.0,29.0
1147,3.0,7.6,55.0,52.0
1149,2.6,5.7,36.0,61.0
1152,4.2,7.7,89.0,89.0
1153,4.0,7.3,91.0,78.0
1154,3.9,7.3,91.0,69.0
1156,4.1,7.1,96.0,78.0
1160,2.4,6.3,36.0,46.0
1161,3.5,6.4,78.0,66.0
1162,4.0,7.4,87.0,81.0
1170,1.2,4.9,7.0,18.0
1178,3.0,7.1,55.0,57.0
1193,3.9,7.1,91.0,72.0
1194,4.2,7.8,88.0,86.0
1197,1.4,4.2,13.0,32.0
1198,4.3,7.9,93.0,85.0
1199,2.8,6.1,54.0,53.0
1200,4.2,7.2,96.0,84.0
1201,2.4,5.5,43.0,45.0
1203,3.1,5.4,25.0,54.0
1204,4.2,7.3,91.0,89.0
1217,1.6,5.1,0.0,42.0
1223,3.6,6.9,81.0,69.0
1228,4.2,7.8,96.0,76.0
