Year,GENRE,AVG. Hidden Gem Score,AVG. IMDB Score,AVG. Metacritic Score,AVG. Rotten Tomatoes Score
2018,BIOGRAPHY,3.86,6.77,6.14,6.68
2018,WAR,4.18,6.79,6.3,7.21
2018,FAMILY,3.88,6.62,5.86,7.1
2018,CRIME,3.57,6.31,5.66,6.07
2018,COMEDY,3.76,6.4,5.93,6.57
2019,FANTASY,3.84,6.44,5.94,6.91
2019,ACTION,3.35,6.41,5.46,6.21
2019,HORROR,3.21,5.93,5.6,6.4
2019,SCI_FI,3.52,6.07,5.35,6.02
2019,MYSTERY,3.57,6.15,5.96,6.94
2019,SPORT,5.56,7.2,6.54,8.33
2019,THRILLER,3.63,6.31,5.67,6.39
2019,ROMANCE,3.57,6.47,5.79,6.34
2019,MUSIC,5.44,6.91,6.74,8.02
2019,HISTORY,3.98,7.01,6.38,6.99
2019,WAR,4.24,7.21,6.74,7.46
2019,FAMILY,4.16,6.64,5.71,7.4
2019,ADVENTURE,3.53,6.45,5.94,7.04
2019,COMEDY,3.61,6.49,5.98,6.98
2019,DOCUMENTARY,6.58,7.43,7.49,9.23
2019,DRAMA,4.1,6.59,6.16,7.12
2019,CRIME,3.74,6.45,5.84,6.42
2019,BIOGRAPHY,4.82,6.97,6.35,7.46
2020,ACTION,4.06,6.33,5.86,6.74
2020,THRILLER,4.24,6.09,5.79,6.8
2020,SCI_FI,3.55,6.35,6.5,7.92
2020,SPORT,6.6,7,4.7,6.8
2020,ADVENTURE,3.17,6.27,5.52,6.87
2020,ROMANCE,6.1,6.6,5.73,7.63
2020,WESTERN,4.6,6,7.5,7.9
2020,CRIME,5.43,6.63,6.83,8.59
2020,WAR,4.1,7.55,6.45,7.4
2020,HORROR,4.09,5.73,6.19,7.1
2020,DRAMA,5.97,6.43,6.13,7.73
2020,MYSTERY,2.58,5.48,5.2,4.9
2020,MUSIC,4.87,6.8,6.73,8.73
2020,FANTASY,4.4,6.36,5.82,7.42
2020,FAMILY,4.14,6.36,5.74,7.28
2020,BIOGRAPHY,5.8,7.03,6.47,7.93
2020,COMEDY,4.85,6.31,5.94,7.61
2020,DOCUMENTARY,8.5,7.4,8.1,9.7
2021,MYSTERY,7.4,5.5,6.6,9.2
2021,HORROR,7.4,5.5,6.6,9.2
2021,THRILLER,7.4,5.5,6.6,9.2
