Key,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Release Date
5,"Crime, Drama, Thriller","Thrillers,Gangster Films,Police Thrillers,Police Movies,Crime Thrillers,Crime Movies",English,Movie,1.6,R,6.1,8.0,29.0,2010-03-01
6,"Crime, Drama, History, Thriller","Dramas,Dramas based on a book,Police Dramas,Police Movies,Dramas based on contemporary literature,Crime Dramas,Films Based on Books,Crime Films,US Movies",English,Movie,2.5,PG-13,6.8,36.0,48.0,2008-03-28
8,"Biography, Drama, Sport","Dramas,Sports Dramas,Biographical Dramas,Social Issue Dramas,Sports Films,Dramas based on real life,Films Based on Real Life",English,Movie,3.6,PG-13,7.5,81.0,62.0,2013-04-12
15,"Drama, Thriller, War","Military Dramas,Dramas,British Movies,Period Pieces","English, French, German",Movie,4.2,R,8.3,89.0,78.0,2020-01-10
16,"Crime, Drama, Horror, Mystery, Thriller","Dramas based on a book,Crime Dramas,Dramas,Crime Thrillers,Scary Halloween Favourites,20th Century Period Pieces,Halloween Favourites,Psychological Thrillers,Thrillers,Period Pieces,Films Based on Books",English,Movie,3.7,TV-MA,6.3,91.0,70.0,2017-10-20
21,"Action, Adventure, Sci-Fi","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Action Thrillers,Sci-Fi Thrillers,Sci-Fi Adventure,Adventures,Action & Adventure","English, French, Tibetan, Mandarin, Russian, Hindi, Portuguese, Latin, Italian, Spanish",Movie,2.4,PG-13,5.8,39.0,49.0,2009-11-13
25,"Crime, Drama, History, Thriller","Crime Movies,Thrillers,Social Issue Dramas,Crime Thrillers,Films Based on Real Life,Courtroom Dramas,Dramas,Films Based on Books,Crime Dramas","English, Norwegian",Movie,3.6,R,6.8,80.0,69.0,2018-10-10
34,"Horror, Mystery, Thriller","Horror Films,Spanish Films,International Movies,Zombie Horror Films,Cult Horror Films","Spanish, Japanese",Movie,3.9,R,7.4,89.0,69.0,2007-11-23
35,"Action, Adventure, Fantasy, Horror, Mystery, Sci-Fi, Thriller","Horror Films,International Movies,Spanish Movies",Spanish,Movie,3.1,R,6.5,68.0,52.0,2009-10-02
36,"Action, Adventure, Fantasy, Horror, Thriller","Horror Films,International Movies,Supernatural Horror Movies,Spanish Movies,Gory Horror Movies","Spanish, Catalan, French",Movie,2.2,R,5.0,40.0,45.0,2012-03-30
37,"Action, Adventure, Fantasy, Horror, Sci-Fi, Thriller","Horror Films,Spanish Films,International Movies,Zombie Horror Films,Gory Horror Movies",Spanish,Movie,2.9,R,5.3,68.0,53.0,2014-10-31
39,"Comedy, Drama, Romance","Independent Films,Dramas,Comedies,Romantic Dramas,Independent Dramas,Independent Comedies,Romantic Independent Films,Romantic Films,Romantic Comedies",English,Movie,3.0,PG-13,6.1,60.0,61.0,2012-10-05
40,"Action, Adventure, Drama, Fantasy, History","Action Thrillers,Action & Adventure,Adventures,Action Movies",English,Movie,1.6,PG-13,5.1,9.0,34.0,2008-03-07
50,"Mystery, Sci-Fi, Thriller","Thrillers,Sci-Fi & Fantasy,Sci-Fi Thrillers,Psychological Thrillers,Cyberpunk,Critically Acclaimed Films,Cult Sci-Fi & Fantasy,Critically-acclaimed Sci-Fi & Fantasy,Golden Globe Award-Winning Films,US Movies,Time Travel Sci-Fi & Fantasy","English, French",Movie,4.1,R,8.0,89.0,74.0,1996-01-05
51,"Action, Crime, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure",English,Movie,2.1,PG-13,5.6,30.0,38.0,2009-03-27
53,"Action, Drama, History, War","Dramas,Movies Based on Books,Movies Based on Real Life,Action & Adventure,Military Dramas,Military Action & Adventure,US Movies","English, Dari, Russian, Spanish, Uzbek",Movie,2.8,R,6.6,50.0,54.0,2018-01-19
54,"Biography, Drama, History","Dramas,Period Pieces,Dramas based on a book,Biographical Dramas,Tearjerkers,Social Issue Dramas,Dramas based on real life,Films Based on Real Life,Films Based on Books,US Movies,Historical Dramas",English,Movie,4.5,R,8.1,95.0,96.0,2013-11-08
55,"Comedy, Drama",Comedies,Romanian,Movie,5.5,Unrated,7.4,96.0,77.0,2006-09-29
56,"Adventure, Biography, Drama, Thriller","Dramas based on real life,Dramas based on a book,Dramas,Movies Based on Real Life,Movies Based on Books,US Movies","English, Italian",Movie,4.2,R,7.5,93.0,82.0,2011-01-28
58,"Comedy, Fantasy, Romance","Romantic Comedies,Comedies,Romantic Films,Romantic Favourites,Teen Films","English, Portuguese",Movie,3.1,PG-13,6.2,65.0,57.0,2004-04-23
59,"Action, Drama, History, War","Dramas,Action Thrillers,Military Dramas,Crime Action & Adventure,Dramas based on a book,Military Action & Adventure,Action & Adventure,Crime Dramas,Dramas based on real life,Films Based on Real Life,Films Based on Books,Action Movies","English, Arabic",Movie,2.9,R,7.3,51.0,48.0,2016-01-15
62,"Horror, Thriller","Thrillers,Crime Thrillers,Psychological Thrillers,Horror Films,US Movies",English,Movie,2.9,R,6.3,65.0,44.0,2014-04-11
63,"Documentary, Crime, History, News","Critically-acclaimed Documentaries,Social & Cultural Documentaries,Documentaries,Documentaries",English,Movie,4.4,TV-MA,8.3,97.0,83.0,2016-10-07
64,"Action, History, Thriller","Asian Action Films,International Movies,Action Thrillers,Chinese Films,International Action & Adventure,Martial Arts Films,Action & Adventure,Hong Kong Movies",Mandarin,Movie,4.2,R,6.3,69.0,50.0,2014-08-22
65,"Action, Crime, Drama, Thriller","Action & Adventure,Crime Movies,Crime Action & Adventure,Action Thrillers","English, Czech, Russian, Greek, Afrikaans",Movie,2.1,R,6.1,32.0,34.0,2001-03-09
66,"Action, Crime, Drama, Thriller","Action Thrillers,Action & Adventure","English, Spanish",Movie,3.1,PG-13,6.6,56.0,63.0,2006-03-03
67,"Comedy, Drama, Fantasy, Romance, Sport","Sci-Fi & Fantasy,Fantasy,Comedies,Teen Films,US Movies,Youth Drama",English,Movie,2.8,PG-13,6.4,56.0,48.0,2009-04-17
75,"Action, Crime, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Gangster Films,Crime Films,Blockbuster Action & Adventure,Action,Crime Action,Police Action & Adventure,Police Movies","English, Spanish",Movie,2.2,PG-13,5.9,36.0,38.0,2003-06-06
76,"Action, Crime, Thriller","Crime Films,Action Thrillers,Action Comedies,Comedies,Crime Comedies,Action & Adventure,Crime Action & Adventure,Heist Movies,Heist Action & Adventure,US Movies,Crime Action,Action Movies","English, Spanish",Movie,3.1,R,6.7,65.0,55.0,2013-08-02
78,"Action, Sci-Fi","Romantic Dramas,Romantic Comedies,Dramas,Comedies,Independent Movies,Romantic Movies,Romantic Independent Movies,Russian Movies","English, Spanish",Movie,4.2,R,8.5,93.0,75.0,1991-07-03
80,"Documentary, Biography, History, Music","Music & Concert Documentaries,Music,Pop,Biographical Documentaries,Rockumentaries,Rock & Pop,Documentaries,Music & Musicals,Documentaries","English, Spanish",Movie,4.3,PG-13,7.4,99.0,83.0,2013-07-26
84,"Adventure, Sci-Fi","Dramas,Dramas based on a book,International Action & Adventure,Award-winning Movies,International Dramas,Sci-Fi & Fantasy,Sci-Fi Adventure,International Movies,Action & Adventure,Adventures,International Sci-Fi & Fantasy,Alien Sci-Fi,Sci-Fi Dramas,Films Based on Books,British Films,Classic Dramas,Classic Films,Cyberpunk,Futuristic Sci-Fi","English, Russian",Movie,4.3,G,8.3,92.0,84.0,1968-05-12
85,"Comedy, Drama","Independent Films,Dramas",English,Movie,4.1,R,7.3,88.0,83.0,2017-01-20
86,Comedy,"Comedies,US Movies","English, Spanish",Movie,2.0,R,5.8,27.0,34.0,2013-03-01
87,"Action, Crime, Thriller","Action & Adventure,Dramas,Crime Movies,Crime Dramas,Crime Action & Adventure",English,Movie,2.8,R,6.6,53.0,51.0,2019-11-22
88,"Action, Comedy, Crime","Crime Films,Spoofs & Satires,Action Comedies,Blockbuster Movies,Comedies,Crime Comedies,Action & Adventure,Crime Action & Adventure,Late Night Comedies",English,Movie,3.8,R,7.2,84.0,69.0,2012-03-16
90,"Action, Comedy, Crime","Crime Films,Action Comedies,Comedies,Crime Comedies,Action & Adventure,Crime Action & Adventure,Late Night Comedies",English,Movie,3.8,R,7.0,84.0,71.0,2014-06-13
91,"Action, Comedy, Crime","Action & Adventure,Military Action & Adventure,Russian Movies,Action Thrillers",English,Movie,3.8,R,7.0,84.0,71.0,2014-06-13
92,"Action, Sci-Fi, Thriller","Action Thrillers,Crime Action & Adventure,Action & Adventure","English, Chinese",Movie,2.5,R,5.8,52.0,37.0,2018-01-26
94,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Romantic Favorites,Comedy Blockbusters,US Movies",English,Movie,2.5,PG-13,6.1,41.0,47.0,2008-01-18
95,"Comedy, Drama","Comedies,Dramas,Social Issue Dramas,US Movies,International Dramas,International Movies,International Comedies",English,Movie,2.3,PG-13,6.1,33.0,46.0,2000-04-14
96,"Drama, Horror, Sci-Fi, Thriller","Horror Films,International Movies,British Films,Sci-Fi & Fantasy,Gory Horror Films","English, Spanish",Movie,3.9,R,7.6,87.0,73.0,2003-06-27
97,"Action, Horror, Sci-Fi","Horror Films,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,International Movies,British Films,Gory Horror Films,Action & Adventure",English,Movie,3.6,R,7.0,71.0,78.0,2007-05-11
99,"Drama, Romance","Dramas,Romantic Dramas,International Movies,French Films,International Dramas,Romantic Films","French, Chinese",Movie,7.1,PG-13,5.9,80.0,56.0,2014-09-17
101,"Action, Drama, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Crime Films,Spy Action & Adventure,Action Movies,Crime Action","English, French, German, Serbian",Movie,2.2,PG-13,6.2,28.0,40.0,2014-02-21
105,"Action, Crime, Drama, Western","Westerns,Action Thrillers,Action & Adventure,Films Based on Books","English, Chinese",Movie,4.0,R,7.7,89.0,76.0,2007-09-07
106,"Action, Horror, Thriller","Horror Films,Supernatural Horror Films,Vampire Horror Films,US Movies,Gory Horror Films,Chilling Horror Films",English,Movie,2.8,R,6.6,51.0,53.0,2007-10-19
107,"Action, Comedy, Crime","Action Comedies,Comedies,Late Night Comedies,Action & Adventure,Crime Action & Adventure,Dark Comedies,Crime Comedies,Crime Movies,Laugh-Out-Loud Comedies,Heist Films","English, German, Spanish",Movie,2.6,R,6.1,45.0,49.0,2011-08-12
108,"Action, Drama","Military Action & Adventure,Action & Adventure,Adventures,Movies Based on Real Life,US Movies,Blockbuster Action & Adventure,Action",English,Movie,2.6,R,6.2,45.0,48.0,2014-03-07
115,Drama,"Independent Dramas,Dramas,International Movies,Independent Films,Social Issue Dramas,Romanian Movies",Romanian,Movie,4.5,Not Rated,7.9,96.0,97.0,2007-09-14
118,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Late Night Comedies,Spoofs & Satires,US Movies",English,Movie,2.5,R,5.6,39.0,53.0,2002-03-01
121,"Adventure, Drama, Horror, Thriller","Teen Screams,British Thrillers,Thrillers,Creature Features,Deep Sea Horror Films,British Films,Horror Films,British Horror Films","English, Spanish",Movie,2.3,PG-13,5.0,45.0,43.0,2019-08-16
125,"Comedy, Drama","Dramas,Dramas based on a book,Independent Films,Comedies,Films Based on Books,Social Issue Dramas",English,Movie,2.9,PG-13,6.2,46.0,55.0,2015-05-08
127,"Comedy, Drama, Romance","Romantic Favourites,Romantic Comedies,Comedies,Romantic Films","English, Hawaiian, Mandarin",Movie,2.7,PG-13,6.8,45.0,48.0,2004-02-13
128,"Comedy, Drama, Romance","Independent Dramas,Dramas,Independent Films,Independent Comedies,Comedies,Tearjerkers,US Movies",English,Movie,4.0,R,7.6,93.0,72.0,2011-09-30
130,Drama,"Independent Movies,Independent Dramas,Dramas",English,Movie,6.7,TV-MA,5.9,86.0,66.0,2018-04-06
131,"Action, Drama, History, Thriller","Dramas,Action & Adventure,20th Century Period Pieces,British Films,Dramas based on real life,International Films,Action Thrillers,Police Action & Adventure,Police Movies,Police Dramas,Films Based on Real Life,British Action & Adventure,British Dramas,Action Movies","English, Arabic, Persian",Movie,2.7,R,6.2,63.0,36.0,2017-08-18
132,"Horror, Mystery, Thriller","Horror Films,Thrillers,Supernatural Horror Films,Mysteries,Supernatural Thrillers",English,Movie,1.6,R,6.1,4.0,28.0,2013-03-01
133,"Action, Thriller","Dramas,Action & Adventure,Action Thrillers,Blockbuster Action & Adventure","English, Turkmen, Cantonese, Italian, Spanish, Ukrainian, French",Movie,2.3,R,6.1,37.0,41.0,2019-12-13
134,"Drama, Romance","Independent Dramas,Romantic Dramas,Dramas,Independent Films,Romantic Independent Films,Romantic Films,Steamy Romantic Films",English,Movie,3.0,Not Rated,5.6,69.0,53.0,2015-08-18
139,"Comedy, Crime, Romance, Thriller","Thrillers,Independent Thrillers,Independent Films,Independent Comedies,Dark Comedies,Comedies,Crime Thrillers,Films Based on Books",English,Movie,5.6,R,6.0,70.0,56.0,2017-08-04
141,"Action, Drama, History, Thriller","Movies based on real life,Thrillers,Dramas,Political Dramas,Political Thrillers","English, German, French, Hebrew, Arabic",Movie,2.2,PG-13,5.8,24.0,49.0,2018-03-16
149,"Drama, Music","Dramas,Biographical Dramas,Rap & Hip-Hop,Social Issue Dramas,Critically Acclaimed Films,Critically Acclaimed Dramas",English,Movie,3.7,R,7.1,75.0,77.0,2002-11-08
150,"Comedy, Crime, Musical, Romance","Comedies,International Movies,French Films,Musicals,Music & Musicals,French Comedies","French, English",Movie,3.6,R,7.1,79.0,64.0,2002-10-04
151,"Mystery, Sci-Fi, Thriller","Romantic Comedies,Comedies,Romantic Movies,Russian Movies",English,Movie,3.7,PG-13,7.0,81.0,72.0,2011-06-10
153,"Crime, Drama, Mystery, Thriller","Crime Films,Thrillers,Crime Thrillers,Mysteries",English,Movie,1.8,R,6.5,22.0,19.0,1999-02-26
157,Comedy,"International Comedies,Comedies,International Films,Late Night Comedies","English, Japanese",Movie,2.2,R,5.6,32.0,42.0,2017-11-01
160,"Biography, Drama","Dramas,Award-winning Movies,International Dramas,Academy Award-Winning Films,Biographical Dramas,International Movies,Dramas based on real life,Movies Based on Real Life,Movies Based on Books,US Movies,Award-winning Dramas,Tearjerkers",English,Movie,3.8,PG-13,8.2,74.0,72.0,2002-01-04
161,"Action, Crime, Drama, Thriller","Critically-acclaimed Movies,Asian Action Movies,Hong Kong Movies,Asian Movies,Gangster Action & Adventure,International Movies,Action Thrillers,International Action & Adventure,Martial Arts Movies,Action & Adventure,Chinese Movies,Crime Action & Adventure,Crime Films,Classic Films,Gangster Films,Classic Action & Adventure","Cantonese, Mandarin, English",Movie,4.1,Not Rated,7.5,93.0,78.0,1986-08-02
169,"Drama, History, War","Dramas based on contemporary literature,Dramas based on Books,Military Action & Adventure,Military Dramas,Dramas,Dramas based on real life,Action & Adventure,20th Century Period Pieces,Movies Based on Real Life,Movies Based on Books,Classic Dramas,Classic Movies,Classic Action & Adventure,Classic War Movies","English, German, Dutch, Polish, Latin",Movie,3.4,PG,7.4,64.0,63.0,1977-06-15
170,"Crime, Drama, Romance","Dramas,Taiwanese Movies,Political Dramas,Movies Based on Real Life","Mandarin, Min Nan, Shanghainese, English",Movie,5.6,Not Rated,8.4,100.0,90.0,2011-11-25
172,"Comedy, Romance","Independent Films,Romantic Independent Films,Romantic Comedies,Independent Comedies,Comedies,Quirky Romance,Romantic Films",English,Movie,2.3,R,5.6,47.0,38.0,2014-02-13
179,"Comedy, Family, Romance","Family Comedies,Children & Family Films,Films for ages 8 to 10,Comedies","English, German, Czech",Movie,1.6,PG,5.9,12.0,25.0,2004-07-16
181,"Crime, Drama, Sci-Fi","Award-winning Movies,Sci-Fi & Fantasy,International Movies,British Films,Sci-Fi,Sci-Fi Dramas,Dramas,Crime Films,Crime Dramas,Films Based on Books,Classic Dramas,Classic Films,Futuristic Sci-Fi,Cult Sci-Fi & Fantasy,Cult Sci-Fi & Fantasy,Classic Sci-Fi & Fantasy,Classic Sci-Fi & Fantasy",English,Movie,4.1,R,8.3,86.0,77.0,1972-02-02
184,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller","Psychological Thrillers,Thrillers,US Movies","English, German",Movie,2.6,R,6.4,43.0,47.0,2017-02-17
187,"Drama, Comedy","Children & Family Movies,Dramas,Comedies,Movies Based on Books,Family Comedies",Swedish,Movie,4.3,Unrated,7.5,100.0,82.0,1987-05-01
188,"Adventure, Comedy, Drama, Family, Fantasy","Dramas,Family Comedies,Family Dramas,Dramas based on a book,Comedies,Family Features,Children & Family Films,Movies Based on Books",English,Movie,2.5,PG,7.2,35.0,43.0,2017-01-27
189,"Adventure, Drama, Family","Movies Based on Books,Children & Family Movies,Family Dramas,Adventures,Family Adventures,Dramas,US Movies,Action & Adventure,Movies Based on Real Life,Family Features",English,Movie,2.9,PG,6.7,59.0,50.0,2019-01-11
192,Drama,Dramas,English,Movie,1.7,R,6.5,13.0,21.0,2017-07-28
194,"Action, Drama, Western","Westerns,Italian Movies,Action Movies","Italian, Spanish",Movie,4.1,R,8.0,98.0,65.0,1967-01-18
197,"Biography, Comedy","Comedies,Films Based on Real Life",English,Movie,3.2,TV-MA,6.8,67.0,55.0,2018-01-26
199,"Drama, Mystery","Dramas,French Movies,International Movies","Russian, French",Movie,7.6,Not Rated,6.6,76.0,78.0,2017-08-16
200,"Drama, Fantasy, Romance","Dramas,Independent Dramas,Independent Films","English, Spanish",Movie,4.1,R,6.9,91.0,84.0,2017-07-27
203,"Comedy, Drama, Family, Romance","Crime Dramas,Crime Movies,Movies Based on Books,Dramas",English,Movie,2.2,PG,5.8,35.0,41.0,2003-04-04
204,"Action, Thriller","Action Thrillers,Crime Action & Adventure,Action & Adventure,Spy Action & Adventure,Crime Films,US Movies,Crime Action,Action Movies","English, Russian, Hindi, Punjabi",Movie,1.6,R,5.3,14.0,28.0,2013-02-14
206,"Comedy, Drama, Romance","Dramas,Dramas based on a book,Romantic Dramas,Romantic Films,Dramas based on contemporary literature,Movies Based on Books,Romantic Favorites","English, French, Russian",Movie,2.4,PG-13,7.0,25.0,47.0,2006-11-10
208,"Comedy, Romance","Middle-Eastern Films,Romantic Films,Egyptian Movies",English,Movie,2.5,PG-13,6.4,42.0,45.0,2003-02-07
209,"Action, Crime, Thriller","International Thrillers,Thrillers,International Movies,Crime Thrillers,Korean Movies,Police Movies,Police Thrillers,Crime Movies",Korean,Movie,3.9,Not Rated,7.2,83.0,76.0,2014-05-29
210,"Comedy, Fantasy, Horror","Spoofs & Satires,Comedies,Late Night Comedies,Horror Movies,Horror Comedies,Laugh-Out-Loud Comedies,Supernatural Horror Movies","English, Spanish",Movie,1.3,R,5.0,9.0,20.0,2013-01-11
211,"Comedy, Fantasy","Horror Films,Spoofs & Satires,Supernatural Horror Films,Comedies,Horror Comedy,Late Night Comedies",English,Movie,1.2,R,4.7,8.0,17.0,2014-04-18
213,"Drama, Thriller","Crime Films,Thrillers,Crime Thrillers",English,Movie,4.0,R,7.4,87.0,81.0,2005-09-30
215,"Comedy, Drama, Romance","Dramas based on contemporary literature,Comedies,British Dramas,Dramas based on a book,Dramas,British Films,British Films,British Comedies,Films Based on Books,US Movies","English, Arabic",Movie,3.1,R,6.1,70.0,58.0,2016-04-28
218,Drama,"Dramas,Social Issue Dramas,Independent Movies,Independent Dramas",English,Movie,6.1,R,5.4,49.0,58.0,2018-06-01
221,"Action, Adventure, Romance","Action & Adventure,Adventures,Romantic Films,Romantic Comedies,Comedies,Action Comedies,Romantic Favorites","English, French, Latin",Movie,3.1,PG-13,6.9,59.0,56.0,2001-05-11
224,"Animation, Adventure, Comedy, Drama, Family, Fantasy","Movies for ages 8 to 10,Anime,Fantasy Anime,Anime Features,International Movies,Children & Family Movies,Family Features,Family Sci-Fi & Fantasy,Sci-Fi & Fantasy,Drama Anime,Japanese Movies,Sci-Fi & Fantasy Anime",Japanese,Movie,5.2,Not Rated,7.3,81.0,65.0,2012-04-21
227,"Drama, Romance","British Dramas,Dramas,British Movies,Romantic Dramas,Independent Movies,Romantic Movies,Period Pieces,Romantic Independent Films",English,Movie,2.7,R,6.5,48.0,51.0,2015-06-26
228,"Drama, Family, Fantasy","Dramas,Dramas based on a book,Dramas based on classic literature,20th Century Period Pieces,Family Features,Children & Family Films,Films for ages 8 to 10,Films based on childrens books,Critically-acclaimed Dramas,Films for ages 11 to 12,Critically-acclaimed Films,Family Dramas,Movies Based on Books,US Movies","English, French",Movie,4.3,G,7.7,97.0,83.0,1995-05-19
230,"Comedy, Drama","Independent Dramas,Dramas,Independent Films,Dark Comedies,Independent Comedies,Dramas based on a book,British Films,Comedies,Dramas based on contemporary literature",English,Movie,2.0,R,6.4,22.0,34.0,2014-06-05
231,"Comedy, Drama, Romance","Dramas,Romantic Dramas,Romantic Comedies,Comedies,Romantic Films,Romantic Favorites","English, American Sign Language",Movie,2.6,PG-13,6.6,41.0,48.0,2005-04-22
238,"Action, Crime, Drama, Thriller","Dramas,Action Thrillers,Police Action & Adventure,Action & Adventure,Police Dramas,Police Movies,Crime Action & Adventure,Crime Dramas,Crime Movies,Gangster Movies,US Movies","English, Spanish",Movie,1.8,R,6.1,11.0,36.0,2003-04-04
239,"Comedy, Drama, Romance","International Comedies,International Movies,Comedies,Dark Comedies,Dramas based on a book,Scandinavian Films,Dramas,International Dramas","Swedish, Persian",Movie,4.0,PG-13,7.7,91.0,70.0,2016-09-30
240,"Biography, Drama, History","Dramas,Academy Award-Winning Films,Award-winning Movies,Dramas based on real life,Dramas based on a book,Golden Globe Award-winning Films,Political Dramas,Dramas based on classic literature,Movies Based on Real Life,British Movies,Period Pieces,Historical Dramas","English, Latin, Spanish, French",Movie,3.9,G,7.7,83.0,72.0,1966-12-16
241,"Crime, Horror, Thriller","Horror Films,Thrillers,Teen Screams,US Movies",English,Movie,3.8,R,7.1,88.0,71.0,2016-08-26
243,Comedy,"Romantic Movies,Romantic Comedies,Comedies,Satires","English, German",Movie,3.2,PG,6.6,77.0,51.0,1982-07-16
244,"Comedy, Western","Comedies,Satires,Dark Comedies,Late Night Comedies,Westerns,US Movies","English, Navajo, Mandarin",Movie,2.3,R,6.1,33.0,44.0,2014-05-30
248,"Adventure, Drama, Family, Fantasy","Dramas,Films based on childrens books,Sci-Fi & Fantasy,Fantasy,Dramas based on a book,Movies Based on Books",English,Movie,4.0,PG-13,7.5,86.0,76.0,2017-01-06
250,"Crime, Drama, Thriller","Dramas,Thrillers,Spy Thrillers,Dramas based on a book,Mysteries,Movies Based on Books","English, Turkish, Arabic",Movie,3.8,R,6.8,86.0,73.0,2014-08-01
251,"Documentary, Crime, History","Social & Cultural Documentaries,Crime Documentaries,Documentaries,True Crime Documentaries,Documentary Films,Crime Movies",English,Movie,8.1,PG-13,7.3,76.0,70.0,2015-06-26
252,"Comedy, Music, Romance","Cult Comedies,Comedies,Late Night Comedies,Cult Films,US Movies",English,Movie,1.6,PG-13,6.3,9.0,26.0,1998-10-02
253,"Crime, Drama, Horror, Mystery","Slasher and Serial Killer Films,Horror Films,Supernatural Horror Films,Teen Screams,Gory Horror Movies",English,Movie,1.7,R,5.2,15.0,35.0,2010-04-30
255,"Comedy, Drama, War","Italian Dramas,Dramas,Italian Thrillers,Italian Movies,Thriller Movies,Movies Based on Books","English, Serbian, Spanish, French, Bosnian",Movie,3.3,R,6.8,72.0,60.0,2016-01-15
257,"Crime, Drama, Thriller","Thrillers,Crime Thrillers,Crime Films","English, Arabic",Movie,2.9,R,6.5,57.0,50.0,1998-06-05
260,"Action, Biography, Crime, Drama, Sport","Biographical Dramas,Dramas based on Real Life,Sports Movies,Dramas based on Books,French Movies,Action & Adventure,International Movies,Dramas,Sports Dramas,Movies Based on Real Life,Movies Based on Books","English, Thai",Movie,4.0,R,6.9,92.0,76.0,2018-08-10
261,"Biography, Drama, War","Military Dramas,Movies Based on Real Life,Biographical Movies,Dramas,Independent Movies,Social Issue Dramas",English,Movie,3.8,R,6.7,88.0,75.0,2018-11-16
263,"Drama, Horror, Sci-Fi","Horror Movies,Thrillers,Critically-acclaimed Movies","American Sign Language, English",Movie,4.2,PG-13,7.5,96.0,82.0,2018-04-06
264,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Movies,Romantic Favorites",English,Movie,2.5,PG-13,6.5,47.0,38.0,2020-11-10
266,Drama,"Dramas,Dramas based on a book,20th Century Period Pieces,Tearjerkers,Dramas based on real life,Sports Films,Sports Dramas",English,Movie,3.7,PG,7.2,80.0,68.0,1992-10-30
267,"Drama, Romance","Dramas,20th Century Period Pieces,Romantic Dramas,Dramas based on a book,Dramas based on classic literature,British Films,Romantic Films","English, Italian",Movie,4.3,Not Rated,7.3,100.0,83.0,1986-04-11
268,"Biography, Drama, History, Romance","Dramas,Romantic Dramas,Scandinavian Films,International Dramas,International Movies,Romantic Favourites,Political Dramas,Period Pieces,Dramas based on a book,Dramas based on real life,Romantic Films,Films Based on Real Life,Films Based on Books,Danish Films","Danish, English, German, French",Movie,4.0,R,7.5,90.0,73.0,2012-03-29
272,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","Comedies,Family Comedies,Animal Tales,Children & Family Movies,British Movies,Family Features",English,Movie,4.5,G,6.9,96.0,79.0,2020-02-14
274,"Comedy, Crime, Mystery, Thriller","Dramas,Steamy Thrillers,Movies based on Books,Mysteries,Crime Comedies,Crime Thrillers,Psychological Thrillers,Crime Dramas,Comedies,Dark Comedies,Crime Movies,Thrillers,US Movies,Critically Acclaimed Films,Critically Acclaimed Dramas,Critically Acclaimed Comedies",English,Movie,3.6,R,6.8,84.0,67.0,2018-09-14
275,"Drama, Romance","Independent Dramas,Dramas,Independent Films,Award-winning Movies,BAFTA Award-Winning Films,Dramas based on a book,LGBTQ Movies,Movies Based on Books,US Movies,LGBTQ Dramas","English, Spanish",Movie,4.0,R,7.6,86.0,77.0,2010-02-05
279,"Drama, Music, Romance","Dramas,Romantic Movies,Tearjerkers,Romantic Dramas,Rock & Pop Concerts,Music & Musicals,Award-winning Dramas,Romantic Favorites,US Movies",English,Movie,4.2,R,7.6,90.0,88.0,2018-10-05
280,"Drama, Music, Romance","Showbiz Dramas,Golden Globe Award-winning Films,Romantic Films,Dramas,Romantic Dramas,Romantic Favourites,Musicals,Music & Musicals,Classic Dramas,Classic Movies",English,Movie,2.6,R,6.2,36.0,59.0,1976-12-17
282,"Biography, Drama, Family","Dramas based on a book,Biographical Dramas,British Films,Dramas,Comedies,Dramas based on real life,Movies Based on Real Life,Movies Based on Books",English,Movie,3.4,Not Rated,7.4,77.0,54.0,2016-11-18
287,"Biography, Drama, History, Mystery, Romance, War","Biographical Dramas,Dramas,Dramas based on contemporary literature,Dramas based on real life,20th Century Period Pieces,Middle-Eastern Films,International Dramas,Dramas based on a book,International Movies,Movies Based on Real Life,Israeli Movies,Movies Based on Books","Hebrew, English, Arabic, Russian",Movie,6.3,PG-13,6.0,71.0,55.0,2016-08-19
289,"Action, Drama, History","Political Dramas,Dramas,Korean Movies","Korean, German, English, Japanese",Movie,4.1,Not Rated,7.9,96.0,69.0,2017-08-11
291,"Comedy, Drama",Comedies,English,Movie,1.4,PG-13,5.9,0.0,26.0,2012-03-09
295,"Biography, Drama, History, Romance","Dramas,Dramas based on real life,Romantic Films,Romantic Dramas,20th Century Period Pieces,British Films,Dramas based on a book,Social Issue Dramas,Films Based on Real Life,Films Based on Books,British Dramas,Romantic British Films","Tswana, English",Movie,3.6,PG-13,6.9,84.0,65.0,2017-02-10
297,"Adventure, Comedy","Comedies,Dark Comedies","English, Spanish",Movie,3.2,R,6.3,68.0,61.0,2011-11-04
301,"Crime, Drama, Mystery, Thriller","Independent Movies,Thrillers,Crime Movies,Dramas,Crime Thrillers,Crime Dramas",English,Movie,5.1,R,5.7,90.0,68.0,2019-03-29
