Key,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Release Date
2727,"Animation, Action, Adventure, Fantasy, Sci-Fi","Anime,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Anime Fantasies,Anime Feature Films,Monster Films,Action & Adventure,Anime Action Films,Japanese Films,Sci-Fi & Fantasy Anime,Shounen Anime",Japanese,Movie,6.2,Not Rated,7.0,83.0,54.0,2012-01-20
2728,"Comedy, Crime","Crime Films,Comedies,Crime Comedies,Heist Films,US Movies","English, Spanish",Movie,2.3,PG-13,6.2,28.0,47.0,2005-12-21
2731,"Biography, Comedy, Drama, Musical, Romance","Classic Romantic Films,Comedies,Romantic Comedies,Romantic Favourites,Musicals,Romantic Films,20th Century Period Pieces,Films Based on Real Life,Classic Films,Classic Comedies,Music & Musicals,Classic Musicals,US Movies",English,Movie,4.3,G,7.4,93.0,89.0,1968-09-19
2732,"Comedy, Drama",Comedies,English,Movie,3.2,R,6.3,69.0,60.0,2009-07-31
2733,"Biography, Drama, Romance, Thriller","Romantic International Movies,Independent Films,International Dramas,US Movies,Romantic Dramas,Independent Dramas,Romantic Films,Romantic Independent Films,Dramas,Biographical Dramas,International Movies,Steamy Dramas,Steamy Romance",English,Movie,2.5,R,6.5,32.0,50.0,2006-10-20
2734,"Action, Adventure, Thriller","Action & Adventure,Crime Action & Adventure,Action Thrillers,Crime Films,Action Movies","English, Thai, Arabic, Spanish",Movie,3.7,PG-13,7.1,82.0,67.0,2015-04-03
2735,"Action, Drama, War","Action & Adventure,Military Action & Adventure,Military Dramas,Dramas,Blockbuster Action & Adventure,US Movies","English, German",Movie,3.6,R,7.6,76.0,64.0,2014-10-17
2738,"Documentary, Music","Documentaries,Documentaries",English,Movie,4.0,TV-MA,7.2,92.0,75.0,2019-01-18
2739,"Comedy, Drama, Romance","Independent Films,Spoofs & Satires,Independent Comedies,Comedies,Teen Films,LGBTQ Films","English, German",Movie,3.2,R,5.9,80.0,56.0,2014-01-17
2740,"Action, Adventure, Sci-Fi, Thriller","Action Thrillers,Military Action & Adventure,Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Sci-Fi Adventure,Adventures,Blockbuster Action & Adventure",English,Movie,2.1,PG-13,5.8,28.0,41.0,2013-03-28
2741,"Action, Adventure, Sci-Fi, Thriller","Action Thrillers,Military Action & Adventure,Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Sci-Fi Adventure,Adventures,US Movies","English, French, Scottish Gaelic",Movie,2.1,PG-13,5.8,34.0,32.0,2009-08-07
2747,"Documentary, Music","Music & Concert Documentaries,Biographical Documentaries,Documentaries,Documentaries,Music and Concert Films,Music & Musicals",English,Movie,3.4,TV-MA,7.0,73.0,63.0,2017-09-22
2748,"Biography, Drama, Music","Dramas,International Movies,French Films,Dramas based on real life,Movies Based on Real Life,Independent Movies,Music & Musicals,French Dramas,Historical Dramas","French, English, Russian",Movie,3.6,Not Rated,7.0,73.0,58.0,2010-01-20
